Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/pb.AuthService/SignInUser,3,0,180.0,575.0989723334593,155.76279100059764,1388.64783399913,491.0,0.0020725370627968816,0.0,180,180,1400,1400,1400,1400,1400,1400,1400,1400,1400
grpc,/pb.VacancyService/CreateVacancy,145,0,73,95.05355833793271,57.844167000439484,853.1563750002533,87.48965517241379,0.10017262470184927,0.0,73,84,93,100,120,150,460,660,850,850,850
grpc,/pb.VacancyService/DeleteVacancy,145,0,130.0,158.66605613096155,105.1510409997718,746.5920840004401,1.986206896551724,0.10017262470184927,0.0,130,160,160,170,200,250,610,650,750,750,750
grpc,/pb.VacancyService/GetVacancies,33,0,160.0,190.64358845439116,110.62470899923937,533.7870000003022,100.0,0.022797907690765697,0.0,160,170,210,240,320,380,530,530,530,530,530
grpc,/pb.VacancyService/GetVacancy,145,0,140.0,163.71795810337062,63.01379099750193,765.0977080011216,87.4,0.10017262470184927,0.0,140,160,170,180,200,300,580,660,770,770,770
grpc,/pb.VacancyService/UpdateVacancy,145,0,150.0,163.46040094484061,74.18520899955183,732.5266669977282,87.4,0.10017262470184927,0.0,150,160,170,170,190,300,640,720,730,730,730
,Aggregated,616,0,130.0,149.7512037272331,57.844167000439484,1388.64783399913,69.95616883116882,0.4255609435609597,0.0,130,150,160,170,190,300,580,660,1400,1400,1400
